domain,count
vuldb.com,4966
github.com,950
www.oracle.com,384
plugins.trac.wordpress.org,281
hackerone.com,149
www.arubanetworks.com,136
www.unisoc.com,123
https:,111
www.gov.il,109
support.hcltechsw.com,102
lists.opensuse.org,54
oval.cisecurity.org,54
gist.github.com,47
gitlab.com,41
note.zhaoj.in,39
www.totolink.net,39
seclists.org,38
ink-desk-28f.notion.site,35
www.archerirm.community,35
fortiguard.com,31
docs.github.com,29
addons.prestashop.com,24
totolink.cn,24
git.ghostscript.com,20
archives.neohapsis.com,19
lists.fedoraproject.org,19
www.esecforte.com,19
palantir.safebase.us,18
www-01.ibm.com,17
www.rockwellautomation.com,16
www.totolink.cn,16
community.silabs.com,15
kb.isc.org,15
detailed-stetson-767.notion.site,14
www.beyondtrust.com,14
www.forescout.com,14
cert.pl,13
www.krcert.or.kr,13
demo.churchcrm.io,12
download.schneider-electric.com,12
networks.unify.com,12
search.abb.com,12
www.yuque.com,12
h0e4a0r1t.github.io,10
815yang.github.io,9
brief-nymphea-813.notion.site,9
drive.google.com,9
git.kernel.org,9
lists.apple.com,9
source.android.com,9
usn.ubuntu.com,9
www.relyum.com,9
git.openssl.org,8
jira.o-ran-sc.org,8
security.inductiveautomation.com,8
sourceware.org,8
www.intel.com,8
www.news.de,8
www.xpdfreader.com,8
community.openvpn.net,7
docs.pingidentity.com,7
me.n-able.com,7
rhn.redhat.com,7
secunia.com,7
support.pentaho.com,7
www.solidigm.com,7
www.swissphone.com,7
www.withsecure.com,7
yjz233.notion.site,7
basercms.net,6
fidelissecurity.zendesk.com,6
linqi.help,6
rsaxvc.net,6
web116.jp,6
www.tibco.com,6
www.vmware.com,6
www.wordfence.com,6
community.snowsoftware.com,5
community.tibco.com,5
cyberdanube.com,5
danishcyberdefence.dk,5
forum.xpdfreader.com,5
fushuling.com,5
jylsec.notion.site,5
liotree.github.io,5
neo4j.com,5
patchstack.com,5
reports-kunull.vercel.app,5
support.catonetworks.com,5
support.logsign.net,5
support.upkeeper.se,5
www.sma.de,5
www.us-cert.gov,5
clandestinelabs.io,4
docs.printercloud.com,4
docs.rocket.chat,4
docubase.com,4
online.com,4
support-splashtopbusiness.splashtop.com,4
support.apple.com,4
talosintelligence.com,4
un4gi.io,4
www.ericsson.com,4
www.getastra.com,4
www.shawroot.cc,4
access.redhat.com,3
aisec.today,3
alcasar.net,3
balwurk.com,3
bitbucket.org,3
codepen.io,3
community.bmc.com,3
community.targit.com,3
docs.payara.fish,3
download.cronos.intelbras.com.br,3
felib.fujielectric.co.jp,3
foss-online.com,3
git.haproxy.org,3
git.moodle.org,3
gitee.com,3
helpx.adobe.com,3
immense-mirror-b42.notion.site,3
industry.panasonic.eu,3
lcamtuf.coredump.cx,3
lp.constantcontactpages.com,3
maid.com,3
medium.com,3
mvnrepository.com,3
stonefly.com,3
support.microsoft.com,3
support.sonatype.com,3
tjr181.com,3
trust.keyfactor.com,3
v5.niuteam.cn,3
wpscan.com,3
www.drupal.org,3
www.entrust.com,3
www.incibe.es,3
www.m-files.com,3
www.zerodayinitiative.com,3
www.zzcms.net,3
blog.blacklanternsecurity.com,2
bombshell.gtisc.gatech.edu,2
bugzilla.mozilla.org,2
chamilo.com,2
chmod744.super.site,2
code.citadel.org,2
codecanyon.net,2
common-services.com,2
community.safe.com,2
dev.io,2
exploit.az,2
extensions.xwiki.org,2
exzettabyte.me,2
favethemes.zendesk.com,2
file.notion.so,2
forums.ivanti.com,2
generatepress.com,2
git.proxmox.com,2
i.ibb.co,2
kay-malwarebenchmark.github.io,2
kernel.dance,2
kiwiyumi.com,2
link.org,2
lkml.org,2
momonguyen.com,2
neye3c.com,2
plugins.svn.wordpress.org,2
powerful-bulb-c36.notion.site,2
ppn.paxengine.com,2
progress.com,2
psirt.bosch.com,2
puppet.com,2
safe-surf.ru,2
sedate-class-393.notion.site,2
semaja2.net,2
shrouded-trowel-50c.notion.site,2
support.citrix.com,2
support.gog.com,2
support.keyfactor.com,2
support.knowbe4.com,2
threeten.com,2
tsc-soft.co.jp,2
v4.phpfox.com,2
wpspectra.com,2
www.atera.com,2
www.barco.com,2
www.cnblogs.com,2
www.cyber.gov.au,2
www.dell.com,2
www.gruppotim.it,2
www.iss.net,2
www.mesec.cn,2
www.novell.com,2
www.securityweek.com,2
www.siemens.com,2
www.square16.org,2
www.vasion.com,2
www.vulnerability-lab.com,2
www.webarxsecurity.com,2
1e.my.site.com,1
abrhil.com,1
advisories.octopus.com,1
agent-js.icp.xyz,1
android.googlesource.com,1
app.safebase.io,1
appinventoraigooglealmandocontrol.com,1
asciinema.org,1
asrg.io,1
atlas.mitre.org,1
aurora.com,1
autman.com,1
basercms.com,1
bitdefender.com,1
blockomat2100.github.io,1
blog.certimetergroup.com,1
blog.csdn.net,1
blog.cybercastrum.com,1
blog.exodusintel.com,1
blog.mo60.cn,1
blog.moku.fr,1
blog.php-security.org,1
blueteamalpha.com,1
bugplorer.github.io,1
bugs.horde.org,1
bugs.limesurvey.org,1
burg-wchter.com,1
burgereditor.com,1
cansecwest.com,1
cdn.bitwarden.net,1
cert-portal.siemens.com,1
cinquito.github.io,1
cloud-trustit.spp.at,1
