Domain,count
gforge.org,8
awstats.sourceforge.net,8
www.thekelleys.org.uk,8
cvs.fedoraproject.org,8
kiki91.altervista.org,8
forum.mambo-foundation.org,8
svn.gna.org,8
lists.ircservices.za.net,8
myblog.it-security23.net,8
code.quagga.net,8
msgs.securepoint.com,8
www.wooyun.org,8
bftpd.sourceforge.net,8
support.software.dell.com,8
sowhat.iit.cnr.it:8443,8
ijbswa.cvs.sourceforge.net,8
projects.electricmonk.nl,8
dev.mutt.org,8
voodoo-circle.sourceforge.net,8
www.pingtel.com,8
pupnp.sourceforge.net,8
e107.svn.sourceforge.net,8
kb.dantz.com,8
modplug-xmms.git.sourceforge.net,7
www11.itrc.hp.com,7
vul.wangan.com,7
www.sarc.com,7
www.phenoelit.org,7
spreecommerce.com,7
tech.f5.com,7
hispahack.ccc.de,7
lncken.cn,7
forge.typo3.org,7
ioac.tv,7
www.gont.com.ar,7
trac.gajim.org,7
blogsecurity.net,7
www.lssec.com,7
midas.psi.ch,7
mirror.linux.org.au,7
fluxbb.org,7
subversion.tigris.org,7
www.securelist.com,7
mime.recurity.com,7
remahl.se,7
zur.homelinux.com,7
www.atksec.com,7
soot.shabgard.org,7
descriptions.securescout.com,7
teamforge.net,7
mod-security.svn.sourceforge.net,7
ftp.auscert.org.au,7
www.blacksheepnetworks.com,7
bugzilla.ubuntu.com,7
blog.n0ipr0cs.io,7
cyberskr.com,7
labs.threatpress.com,6
www.soluble.ai,6
a3100r.com,6
www.3com.com,6
redlevel.org,6
yonbip.com,6
helixproducts.real.com,6
support.zeus.com,6
securethoughts.com,6
fisheye6.atlassian.com,6
downloads.sourceforge.net,6
expat.cvs.sourceforge.net,6
lists.netsys.com,6
lists.manyfish.co.uk,6
security-tracker.debian.net,6
k7antivirus.com,6
lists.quagga.net,6
www.cnnvd.org.cn,6
sylpheed.good-day.net,6
www.snellspace.com,6
www.nyubicrew.org,6
www.dc.ds.pg.gda.pl,6
blog.cmsmadesimple.org,6
fsp.cvs.sourceforge.net,6
vcs.openttd.org,6
jira.atheme.org,6
freetype.sourceforge.net,6
www.secnetops.com,6
diff.kasseler-cms.net,6
www.projectforge.org,6
reference1.example.com,6
community.zikula.org,6
39.106.130.187,6
affix.sourceforge.net,6
spaw.cvs.sourceforge.net,6
lists.rpath.com,6
webcalendar.cvs.sourceforge.net,6
whiteboyz.xyz,6
www.security-focus.com,6
hacktivity.websecgeeks.com,6
bindshell.net,6
eduforge.org,6
webcvs.freedesktop.org,6
www.swp-zone.org,6
hsmftp.honeywell.com:443,6
membership.backbox.org,5
core.spip.org,5
www.xxor.se,5
jira.springsource.org,5
dev.rubyonrails.org,5
xoops.svn.sourceforge.net,5
hg.tryton.org,5
optipng.sourceforge.net,5
svn.gnome.org,5
forum.cerberusweb.com,5
emaragkos.gr,5
www.gamasec.net,5
www.8sec.cc,5
www.nosystem.com.ar,5
www.rfdslabs.com.br,5
lists.roaringpenguin.com,5
www.mnogosearch.org,5
bogofilter.sourceforge.net,5
securityfocus.com,5
forum.aria-security.com,5
ftp.kde.org,5
jeecg-boot.com,5
leafnode.sourceforge.net,5
ph0rse.me,5
blog.amossys.fr,5
watchguardsecuritycenter.com,5
update.atutor.ca,5
www.hitachi-cable.co.jp,5
pam.cvs.sourceforge.net,5
ptk.dflabs.com,5
amsn.svn.sourceforge.net,5
www.mrzayas.es,5
bugs.gw.com,5
supportconnect.ca.com,5
www.conostix.com,5
docs.couchdb.org,5
www.unrealircd.com,5
www.kurczaba.com,5
osclass.org,5
flatnuke.sourceforge.net,5
git.ganeti.org,5
blog.osclass.org,5
developer.bea.com,5
www.fujixerox.co.jp,5
www.lsd-pl.net,5
nam-en.apc.com,5
www.ircservices.za.net,5
